instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr,year_month
1127,2011-02-19,1,0,2,0,6,0,1,0.44,0.4394,0.16,0.6418,39,81,120,16.0,2011-02-01
1128,2011-02-19,1,0,2,0,6,0,1,0.42,0.4242,0.19,0.6119,36,91,127,17.0,2011-02-01
1129,2011-02-19,1,0,2,0,6,0,1,0.36,0.3182,0.25,0.4478,21,67,88,18.0,2011-02-01
1130,2011-02-19,1,0,2,0,6,0,1,0.34,0.303,0.29,0.3582,5,54,59,19.0,2011-02-01
1131,2011-02-19,1,0,2,0,6,0,1,0.32,0.2879,0.28,0.5224,9,38,47,20.0,2011-02-01
1132,2011-02-19,1,0,2,0,6,0,1,0.32,0.2727,0.26,0.5522,4,29,33,21.0,2011-02-01
1133,2011-02-19,1,0,2,0,6,0,1,0.3,0.2576,0.28,0.4925,2,42,44,22.0,2011-02-01
1134,2011-02-19,1,0,2,0,6,0,1,0.28,0.2424,0.33,0.4478,4,25,29,23.0,2011-02-01
1135,2011-02-20,1,0,2,0,0,0,1,0.26,0.2121,0.35,0.4478,3,14,17,0.0,2011-02-01
1136,2011-02-20,1,0,2,0,0,0,1,0.24,0.197,0.41,0.4627,5,11,16,1.0,2011-02-01
1137,2011-02-20,1,0,2,0,0,0,1,0.24,0.197,0.41,0.5522,0,17,17,2.0,2011-02-01
1138,2011-02-20,1,0,2,0,0,0,1,0.22,0.1818,0.44,0.5522,9,9,18,3.0,2011-02-01
1139,2011-02-20,1,0,2,0,0,0,1,0.22,0.1818,0.44,0.5522,0,1,1,4.0,2011-02-01
1140,2011-02-20,1,0,2,0,0,0,1,0.2,0.1818,0.47,0.2985,1,1,2,6.0,2011-02-01
1141,2011-02-20,1,0,2,0,0,0,1,0.18,0.1667,0.51,0.2537,0,2,2,7.0,2011-02-01
1142,2011-02-20,1,0,2,0,0,0,1,0.2,0.2273,0.51,0.1045,2,22,24,8.0,2011-02-01
1143,2011-02-20,1,0,2,0,0,0,1,0.22,0.2121,0.47,0.2836,7,48,55,9.0,2011-02-01
1144,2011-02-20,1,0,2,0,0,0,2,0.26,0.2576,0.41,0.194,34,70,104,10.0,2011-02-01
1145,2011-02-20,1,0,2,0,0,0,2,0.3,0.303,0.33,0.1642,72,89,161,11.0,2011-02-01
1146,2011-02-20,1,0,2,0,0,0,1,0.3,0.3182,0.33,0.1045,62,120,182,12.0,2011-02-01
1147,2011-02-20,1,0,2,0,0,0,1,0.34,0.3333,0.29,0.0,76,122,198,13.0,2011-02-01
1148,2011-02-20,1,0,2,0,0,0,1,0.36,0.3485,0.27,0.1642,108,104,212,14.0,2011-02-01
1149,2011-02-20,1,0,2,0,0,0,1,0.36,0.3636,0.27,0.0896,66,102,168,15.0,2011-02-01
1150,2011-02-20,1,0,2,0,0,0,1,0.36,0.3636,0.29,0.0896,59,88,147,16.0,2011-02-01
1151,2011-02-20,1,0,2,0,0,0,1,0.34,0.3485,0.33,0.1642,60,86,146,17.0,2011-02-01
1152,2011-02-20,1,0,2,0,0,0,2,0.34,0.3333,0.36,0.1343,30,71,101,18.0,2011-02-01
1153,2011-02-20,1,0,2,0,0,0,2,0.34,0.3333,0.36,0.1343,3,39,42,19.0,2011-02-01
1154,2011-02-20,1,0,2,0,0,0,2,0.34,0.3636,0.42,0.0,12,30,42,20.0,2011-02-01
1155,2011-02-20,1,0,2,0,0,0,2,0.32,0.3485,0.53,0.0,17,39,56,21.0,2011-02-01
1156,2011-02-20,1,0,2,0,0,0,2,0.32,0.303,0.57,0.2239,4,43,47,22.0,2011-02-01
1157,2011-02-20,1,0,2,0,0,0,2,0.3,0.303,0.61,0.1642,9,45,54,23.0,2011-02-01
1158,2011-02-21,1,0,2,1,1,0,2,0.34,0.303,0.42,0.3284,7,30,37,0.0,2011-02-01
1159,2011-02-21,1,0,2,1,1,0,2,0.34,0.303,0.42,0.3284,2,11,13,1.0,2011-02-01
1160,2011-02-21,1,0,2,1,1,0,2,0.34,0.303,0.42,0.3284,1,3,4,2.0,2011-02-01
1161,2011-02-21,1,0,2,1,1,0,2,0.34,0.303,0.42,0.2985,2,3,5,3.0,2011-02-01
1162,2011-02-21,1,0,2,1,1,0,1,0.32,0.3182,0.45,0.1642,1,0,1,4.0,2011-02-01
1163,2011-02-21,1,0,2,1,1,0,2,0.34,0.3636,0.36,0.0,1,2,3,5.0,2011-02-01
1164,2011-02-21,1,0,2,1,1,0,2,0.42,0.4242,0.26,0.2985,2,6,8,6.0,2011-02-01
1165,2011-02-21,1,0,2,1,1,0,2,0.42,0.4242,0.26,0.2836,3,16,19,7.0,2011-02-01
1166,2011-02-21,1,0,2,1,1,0,2,0.32,0.303,0.57,0.2985,7,56,63,8.0,2011-02-01
1167,2011-02-21,1,0,2,1,1,0,2,0.32,0.303,0.57,0.2836,11,46,57,9.0,2011-02-01
1168,2011-02-21,1,0,2,1,1,0,2,0.32,0.303,0.57,0.2537,29,52,81,10.0,2011-02-01
1169,2011-02-21,1,0,2,1,1,0,2,0.32,0.3333,0.57,0.1045,20,70,90,11.0,2011-02-01
1170,2011-02-21,1,0,2,1,1,0,2,0.32,0.3182,0.66,0.194,26,67,93,12.0,2011-02-01
1171,2011-02-21,1,0,2,1,1,0,3,0.3,0.2727,0.81,0.3284,28,75,103,13.0,2011-02-01
1172,2011-02-21,1,0,2,1,1,0,2,0.32,0.303,0.76,0.2537,15,101,116,14.0,2011-02-01
1173,2011-02-21,1,0,2,1,1,0,2,0.3,0.2727,0.7,0.4478,11,76,87,15.0,2011-02-01
1174,2011-02-21,1,0,2,1,1,0,3,0.28,0.2424,0.75,0.4179,8,48,56,16.0,2011-02-01
1175,2011-02-21,1,0,2,1,1,0,2,0.28,0.2576,0.75,0.3881,18,62,80,17.0,2011-02-01
1176,2011-02-21,1,0,2,1,1,0,2,0.24,0.2121,0.87,0.3582,2,64,66,18.0,2011-02-01
1177,2011-02-21,1,0,2,1,1,0,2,0.24,0.2121,0.87,0.3582,0,49,49,19.0,2011-02-01
1178,2011-02-21,1,0,2,1,1,0,3,0.24,0.2121,0.81,0.3881,0,29,29,20.0,2011-02-01
1179,2011-02-21,1,0,2,1,1,0,3,0.22,0.197,0.75,0.4478,1,33,34,21.0,2011-02-01
1180,2011-02-21,1,0,2,1,1,0,3,0.2,0.1667,0.75,0.4179,0,11,11,22.0,2011-02-01
1181,2011-02-21,1,0,2,1,1,0,3,0.2,0.1667,0.75,0.4179,0,2,2,23.0,2011-02-01
1182,2011-02-22,1,0,2,0,2,1,2,0.12,0.1212,0.8,0.2836,0,7,7,6.0,2011-02-01
1183,2011-02-22,1,0,2,0,2,1,2,0.12,0.1212,0.8,0.2836,0,40,40,7.0,2011-02-01
1184,2011-02-22,1,0,2,0,2,1,2,0.12,0.1212,0.8,0.2537,7,107,114,8.0,2011-02-01
1185,2011-02-22,1,0,2,0,2,1,2,0.14,0.1212,0.74,0.2537,5,101,106,9.0,2011-02-01
1186,2011-02-22,1,0,2,0,2,1,1,0.16,0.1818,0.69,0.0,0,44,44,10.0,2011-02-01
1187,2011-02-22,1,0,2,0,2,1,1,0.16,0.2273,0.64,0.0,7,43,50,11.0,2011-02-01
1188,2011-02-22,1,0,2,0,2,1,1,0.2,0.2273,0.59,0.1045,7,48,55,12.0,2011-02-01
1189,2011-02-22,1,0,2,0,2,1,1,0.22,0.2273,0.55,0.1642,3,52,55,13.0,2011-02-01
1190,2011-02-22,1,0,2,0,2,1,1,0.22,0.2273,0.55,0.194,9,49,58,14.0,2011-02-01
1191,2011-02-22,1,0,2,0,2,1,1,0.24,0.2273,0.48,0.194,2,67,69,15.0,2011-02-01
1192,2011-02-22,1,0,2,0,2,1,1,0.22,0.2273,0.51,0.1642,7,79,86,16.0,2011-02-01
1193,2011-02-22,1,0,2,0,2,1,1,0.22,0.2121,0.51,0.2239,8,188,196,17.0,2011-02-01
1194,2011-02-22,1,0,2,0,2,1,1,0.22,0.2273,0.47,0.1343,6,161,167,18.0,2011-02-01
1195,2011-02-22,1,0,2,0,2,1,1,0.2,0.1818,0.47,0.2836,4,114,118,19.0,2011-02-01
1196,2011-02-22,1,0,2,0,2,1,1,0.2,0.197,0.47,0.2239,3,102,105,20.0,2011-02-01
1197,2011-02-22,1,0,2,0,2,1,1,0.2,0.197,0.47,0.2537,2,80,82,21.0,2011-02-01
1198,2011-02-22,1,0,2,0,2,1,1,0.16,0.1515,0.43,0.2537,1,76,77,22.0,2011-02-01
1199,2011-02-22,1,0,2,0,2,1,1,0.16,0.1515,0.43,0.2537,3,18,21,23.0,2011-02-01
1200,2011-02-23,1,0,2,0,3,1,1,0.14,0.1364,0.5,0.194,0,6,6,0.0,2011-02-01
1201,2011-02-23,1,0,2,0,3,1,1,0.14,0.1515,0.46,0.1642,0,4,4,1.0,2011-02-01
1202,2011-02-23,1,0,2,0,3,1,1,0.12,0.1515,0.5,0.1343,0,1,1,2.0,2011-02-01
1203,2011-02-23,1,0,2,0,3,1,1,0.12,0.1364,0.5,0.1642,0,2,2,3.0,2011-02-01
1204,2011-02-23,1,0,2,0,3,1,1,0.12,0.1515,0.5,0.1045,0,8,8,5.0,2011-02-01
1205,2011-02-23,1,0,2,0,3,1,1,0.12,0.1515,0.5,0.1045,0,36,36,6.0,2011-02-01
1206,2011-02-23,1,0,2,0,3,1,1,0.12,0.1515,0.54,0.1343,2,94,96,7.0,2011-02-01
1207,2011-02-23,1,0,2,0,3,1,1,0.14,0.1515,0.54,0.1642,8,227,235,8.0,2011-02-01
1208,2011-02-23,1,0,2,0,3,1,1,0.18,0.2121,0.51,0.0896,9,130,139,9.0,2011-02-01
1209,2011-02-23,1,0,2,0,3,1,1,0.2,0.2576,0.4,0.0,4,47,51,10.0,2011-02-01
1210,2011-02-23,1,0,2,0,3,1,1,0.24,0.2576,0.41,0.1045,16,53,69,11.0,2011-02-01
1211,2011-02-23,1,0,2,0,3,1,1,0.26,0.2879,0.35,0.0896,11,56,67,12.0,2011-02-01
1212,2011-02-23,1,0,2,0,3,1,1,0.3,0.3182,0.28,0.0896,9,78,87,13.0,2011-02-01
1213,2011-02-23,1,0,2,0,3,1,1,0.32,0.3333,0.29,0.1045,17,61,78,14.0,2011-02-01
1214,2011-02-23,1,0,2,0,3,1,1,0.34,0.3485,0.25,0.0896,18,54,72,15.0,2011-02-01
1215,2011-02-23,1,0,2,0,3,1,1,0.34,0.3636,0.25,0.0,15,79,94,16.0,2011-02-01
1216,2011-02-23,1,0,2,0,3,1,1,0.34,0.3485,0.25,0.0896,15,207,222,17.0,2011-02-01
1217,2011-02-23,1,0,2,0,3,1,1,0.32,0.3333,0.26,0.0896,3,206,209,18.0,2011-02-01
1218,2011-02-23,1,0,2,0,3,1,1,0.3,0.3333,0.33,0.0,6,135,141,19.0,2011-02-01
1219,2011-02-23,1,0,2,0,3,1,1,0.24,0.2424,0.6,0.1642,2,107,109,20.0,2011-02-01
1220,2011-02-23,1,0,2,0,3,1,1,0.24,0.2879,0.48,0.0,2,89,91,21.0,2011-02-01
1221,2011-02-23,1,0,2,0,3,1,1,0.24,0.2879,0.48,0.0,1,60,61,22.0,2011-02-01
1222,2011-02-23,1,0,2,0,3,1,1,0.22,0.2576,0.55,0.0896,1,38,39,23.0,2011-02-01
1223,2011-02-24,1,0,2,0,4,1,1,0.22,0.2576,0.55,0.0896,0,11,11,0.0,2011-02-01
1224,2011-02-24,1,0,2,0,4,1,1,0.22,0.2576,0.6,0.0896,0,7,7,1.0,2011-02-01
1225,2011-02-24,1,0,2,0,4,1,1,0.2,0.2273,0.64,0.0896,0,4,4,2.0,2011-02-01
1226,2011-02-24,1,0,2,0,4,1,1,0.2,0.2121,0.64,0.1343,0,2,2,3.0,2011-02-01
1227,2011-02-24,1,0,2,0,4,1,1,0.2,0.2121,0.69,0.1343,1,3,4,5.0,2011-02-01
1228,2011-02-24,1,0,2,0,4,1,1,0.2,0.197,0.69,0.194,0,58,58,6.0,2011-02-01
1229,2011-02-24,1,0,2,0,4,1,1,0.2,0.197,0.72,0.194,0,104,104,7.0,2011-02-01
1230,2011-02-24,1,0,2,0,4,1,1,0.24,0.2273,0.7,0.2239,8,244,252,8.0,2011-02-01
1231,2011-02-24,1,0,2,0,4,1,2,0.24,0.2121,0.75,0.2985,4,133,137,9.0,2011-02-01
1232,2011-02-24,1,0,2,0,4,1,2,0.26,0.2424,0.7,0.2836,8,49,57,10.0,2011-02-01
1233,2011-02-24,1,0,2,0,4,1,2,0.32,0.2879,0.57,0.3881,8,71,79,11.0,2011-02-01
1234,2011-02-24,1,0,2,0,4,1,2,0.36,0.3333,0.53,0.3582,10,85,95,12.0,2011-02-01
1235,2011-02-24,1,0,2,0,4,1,2,0.38,0.3939,0.54,0.2985,16,72,88,13.0,2011-02-01
1236,2011-02-24,1,0,2,0,4,1,2,0.4,0.4091,0.5,0.2985,2,67,69,14.0,2011-02-01
1237,2011-02-24,1,0,2,0,4,1,3,0.4,0.4091,0.54,0.3881,5,58,63,15.0,2011-02-01
1238,2011-02-24,1,0,2,0,4,1,3,0.38,0.3939,0.62,0.2836,4,67,71,16.0,2011-02-01
1239,2011-02-24,1,0,2,0,4,1,3,0.36,0.3485,0.66,0.194,9,168,177,17.0,2011-02-01
1240,2011-02-24,1,0,2,0,4,1,2,0.34,0.303,0.87,0.3284,5,132,137,18.0,2011-02-01
1241,2011-02-24,1,0,2,0,4,1,3,0.34,0.303,0.93,0.2985,3,112,115,19.0,2011-02-01
1242,2011-02-24,1,0,2,0,4,1,2,0.34,0.303,0.93,0.3582,2,87,89,20.0,2011-02-01
1243,2011-02-24,1,0,2,0,4,1,2,0.34,0.303,0.87,0.3284,7,76,83,21.0,2011-02-01
1244,2011-02-24,1,0,2,0,4,1,3,0.34,0.3182,0.87,0.2836,5,50,55,22.0,2011-02-01
1245,2011-02-24,1,0,2,0,4,1,2,0.32,0.303,0.93,0.2239,3,47,50,23.0,2011-02-01
1246,2011-02-25,1,0,2,0,5,1,3,0.32,0.3485,0.93,0.0,1,8,9,0.0,2011-02-01
1247,2011-02-25,1,0,2,0,5,1,2,0.32,0.3485,1.0,0.0,1,9,10,1.0,2011-02-01
1248,2011-02-25,1,0,2,0,5,1,2,0.32,0.3485,1.0,0.0,0,3,3,2.0,2011-02-01
1249,2011-02-25,1,0,2,0,5,1,2,0.32,0.3333,0.93,0.1045,1,1,2,3.0,2011-02-01
1250,2011-02-25,1,0,2,0,5,1,2,0.32,0.3333,0.93,0.1045,1,5,6,5.0,2011-02-01
1251,2011-02-25,1,0,2,0,5,1,3,0.34,0.3485,0.93,0.0896,0,11,11,6.0,2011-02-01
1252,2011-02-25,1,0,2,0,5,1,3,0.34,0.3333,1.0,0.1343,1,34,35,7.0,2011-02-01
1253,2011-02-25,1,0,2,0,5,1,3,0.36,0.3485,0.93,0.1343,3,70,73,8.0,2011-02-01
1254,2011-02-25,1,0,2,0,5,1,3,0.34,0.303,0.93,0.3582,3,111,114,9.0,2011-02-01
1255,2011-02-25,1,0,2,0,5,1,3,0.42,0.4242,0.94,0.3284,7,42,49,10.0,2011-02-01
1256,2011-02-25,1,0,2,0,5,1,1,0.52,0.5,0.77,0.4478,9,50,59,11.0,2011-02-01
1257,2011-02-25,1,0,2,0,5,1,3,0.54,0.5152,0.6,0.4627,20,95,115,12.0,2011-02-01
1258,2011-02-25,1,0,2,0,5,1,3,0.54,0.5152,0.6,0.4627,6,77,83,13.0,2011-02-01
1259,2011-02-25,1,0,2,0,5,1,3,0.56,0.5303,0.56,0.6119,14,71,85,14.0,2011-02-01
1260,2011-02-25,1,0,2,0,5,1,1,0.46,0.4545,0.41,0.806,5,50,55,15.0,2011-02-01
1261,2011-02-25,1,0,2,0,5,1,1,0.32,0.2879,0.49,0.4627,11,91,102,16.0,2011-02-01
1262,2011-02-25,1,0,2,0,5,1,1,0.32,0.2727,0.49,0.7463,8,181,189,17.0,2011-02-01
1263,2011-02-25,1,0,2,0,5,1,1,0.32,0.2879,0.49,0.4925,7,150,157,18.0,2011-02-01
1264,2011-02-25,1,0,2,0,5,1,1,0.3,0.2727,0.52,0.4478,4,86,90,19.0,2011-02-01
1265,2011-02-25,1,0,2,0,5,1,1,0.3,0.2576,0.49,0.6119,2,60,62,20.0,2011-02-01
1266,2011-02-25,1,0,2,0,5,1,1,0.28,0.2576,0.48,0.3881,7,56,63,21.0,2011-02-01
1267,2011-02-25,1,0,2,0,5,1,1,0.26,0.2121,0.48,0.4478,7,43,50,22.0,2011-02-01
1268,2011-02-25,1,0,2,0,5,1,1,0.26,0.2273,0.48,0.3284,2,37,39,23.0,2011-02-01
1269,2011-02-26,1,0,2,0,6,0,1,0.24,0.2273,0.52,0.194,3,25,28,0.0,2011-02-01
1270,2011-02-26,1,0,2,0,6,0,1,0.24,0.2121,0.52,0.2985,2,25,27,1.0,2011-02-01
1271,2011-02-26,1,0,2,0,6,0,1,0.22,0.197,0.6,0.3582,3,9,12,2.0,2011-02-01
1272,2011-02-26,1,0,2,0,6,0,1,0.22,0.2273,0.55,0.1343,1,7,8,3.0,2011-02-01
1273,2011-02-26,1,0,2,0,6,0,2,0.22,0.2576,0.6,0.0896,1,1,2,4.0,2011-02-01
1274,2011-02-26,1,0,2,0,6,0,2,0.22,0.2424,0.64,0.1045,1,9,10,5.0,2011-02-01
1275,2011-02-26,1,0,2,0,6,0,1,0.22,0.2727,0.6,0.0,1,6,7,6.0,2011-02-01
1276,2011-02-26,1,0,2,0,6,0,1,0.22,0.2576,0.6,0.0896,1,21,22,7.0,2011-02-01
1277,2011-02-26,1,0,2,0,6,0,2,0.24,0.2879,0.6,0.0,2,55,57,8.0,2011-02-01
1278,2011-02-26,1,0,2,0,6,0,2,0.26,0.2576,0.56,0.1642,9,65,74,9.0,2011-02-01
1279,2011-02-26,1,0,2,0,6,0,2,0.3,0.303,0.49,0.1343,14,71,85,10.0,2011-02-01
1280,2011-02-26,1,0,2,0,6,0,1,0.3,0.3333,0.45,0.0,26,100,126,11.0,2011-02-01
1281,2011-02-26,1,0,2,0,6,0,2,0.32,0.3182,0.45,0.1642,45,115,160,12.0,2011-02-01
1282,2011-02-26,1,0,2,0,6,0,2,0.34,0.3182,0.42,0.2537,38,136,174,13.0,2011-02-01
1283,2011-02-26,1,0,2,0,6,0,2,0.34,0.303,0.36,0.3284,57,154,211,14.0,2011-02-01
1284,2011-02-26,1,0,2,0,6,0,2,0.36,0.3333,0.4,0.2836,40,125,165,15.0,2011-02-01
1285,2011-02-26,1,0,2,0,6,0,1,0.36,0.3333,0.46,0.2836,41,130,171,16.0,2011-02-01
1286,2011-02-26,1,0,2,0,6,0,1,0.36,0.3485,0.43,0.2239,53,130,183,17.0,2011-02-01
1287,2011-02-26,1,0,2,0,6,0,1,0.34,0.3333,0.46,0.194,26,111,137,18.0,2011-02-01
1288,2011-02-26,1,0,2,0,6,0,1,0.32,0.303,0.49,0.2537,30,64,94,19.0,2011-02-01
1289,2011-02-26,1,0,2,0,6,0,1,0.3,0.303,0.56,0.1642,8,60,68,20.0,2011-02-01
1290,2011-02-26,1,0,2,0,6,0,1,0.28,0.2727,0.65,0.2537,9,59,68,21.0,2011-02-01
1291,2011-02-26,1,0,2,0,6,0,1,0.28,0.2727,0.75,0.2239,8,38,46,22.0,2011-02-01
1292,2011-02-26,1,0,2,0,6,0,1,0.28,0.2576,0.75,0.2836,5,29,34,23.0,2011-02-01
1293,2011-02-27,1,0,2,0,0,0,1,0.26,0.2424,0.87,0.2836,8,26,34,0.0,2011-02-01
1294,2011-02-27,1,0,2,0,0,0,1,0.26,0.2576,0.87,0.194,7,30,37,1.0,2011-02-01
1295,2011-02-27,1,0,2,0,0,0,1,0.26,0.2727,0.87,0.1343,2,20,22,2.0,2011-02-01
1296,2011-02-27,1,0,2,0,0,0,1,0.26,0.2879,0.87,0.0896,3,8,11,3.0,2011-02-01
1297,2011-02-27,1,0,2,0,0,0,1,0.24,0.2424,0.87,0.1343,0,2,2,4.0,2011-02-01
1298,2011-02-27,1,0,2,0,0,0,1,0.24,0.2879,0.87,0.0,2,1,3,6.0,2011-02-01
1299,2011-02-27,1,0,2,0,0,0,1,0.24,0.2424,0.87,0.1343,6,8,14,7.0,2011-02-01
1300,2011-02-27,1,0,2,0,0,0,1,0.26,0.303,0.87,0.0,9,26,35,8.0,2011-02-01
1301,2011-02-27,1,0,2,0,0,0,1,0.28,0.303,0.87,0.0896,17,42,59,9.0,2011-02-01
1302,2011-02-27,1,0,2,0,0,0,1,0.3,0.303,0.81,0.1642,24,79,103,10.0,2011-02-01
1303,2011-02-27,1,0,2,0,0,0,1,0.36,0.3485,0.62,0.1343,33,92,125,11.0,2011-02-01
1304,2011-02-27,1,0,2,0,0,0,1,0.4,0.4091,0.54,0.0896,61,132,193,12.0,2011-02-01
1305,2011-02-27,1,0,2,0,0,0,1,0.42,0.4242,0.47,0.0,90,169,259,13.0,2011-02-01
1306,2011-02-27,1,0,2,0,0,0,1,0.44,0.4394,0.47,0.0896,105,177,282,14.0,2011-02-01
1307,2011-02-27,1,0,2,0,0,0,1,0.46,0.4545,0.44,0.1343,98,163,261,15.0,2011-02-01
1308,2011-02-27,1,0,2,0,0,0,1,0.48,0.4697,0.44,0.1642,98,170,268,16.0,2011-02-01
1309,2011-02-27,1,0,2,0,0,0,1,0.42,0.4242,0.54,0.194,66,121,187,17.0,2011-02-01
1310,2011-02-27,1,0,2,0,0,0,1,0.4,0.4091,0.54,0.194,24,103,127,18.0,2011-02-01
1311,2011-02-27,1,0,2,0,0,0,1,0.4,0.4091,0.54,0.1343,16,86,102,19.0,2011-02-01
1312,2011-02-27,1,0,2,0,0,0,1,0.4,0.4091,0.54,0.0896,9,72,81,20.0,2011-02-01
1313,2011-02-27,1,0,2,0,0,0,1,0.38,0.3939,0.62,0.1642,8,61,69,21.0,2011-02-01
1314,2011-02-27,1,0,2,0,0,0,2,0.38,0.3939,0.62,0.1045,2,67,69,22.0,2011-02-01
1315,2011-02-27,1,0,2,0,0,0,2,0.36,0.3485,0.62,0.1642,6,53,59,23.0,2011-02-01
1316,2011-02-28,1,0,2,0,1,1,2,0.36,0.3636,0.66,0.1045,5,25,30,0.0,2011-02-01
1317,2011-02-28,1,0,2,0,1,1,3,0.34,0.303,0.87,0.3582,1,7,8,1.0,2011-02-01
1318,2011-02-28,1,0,2,0,1,1,3,0.32,0.3182,0.93,0.1642,0,1,1,3.0,2011-02-01
1319,2011-02-28,1,0,2,0,1,1,2,0.34,0.3636,0.93,0.0,1,4,5,5.0,2011-02-01
1320,2011-02-28,1,0,2,0,1,1,2,0.34,0.3485,0.96,0.1045,1,27,28,6.0,2011-02-01
1321,2011-02-28,1,0,2,0,1,1,2,0.36,0.3636,0.93,0.1045,2,90,92,7.0,2011-02-01
1322,2011-02-28,1,0,2,0,1,1,2,0.34,0.303,0.93,0.2985,13,242,255,8.0,2011-02-01
1323,2011-02-28,1,0,2,0,1,1,1,0.42,0.4242,0.82,0.2836,15,127,142,9.0,2011-02-01
1324,2011-02-28,1,0,2,0,1,1,2,0.52,0.5,0.72,0.4925,13,79,92,10.0,2011-02-01
1325,2011-02-28,1,0,2,0,1,1,2,0.56,0.5303,0.64,0.2985,13,74,87,11.0,2011-02-01
1326,2011-02-28,1,0,2,0,1,1,2,0.56,0.5303,0.64,0.2985,0,36,36,12.0,2011-02-01
1327,2011-02-28,1,0,2,0,1,1,3,0.46,0.4545,0.94,0.2239,1,31,32,13.0,2011-02-01
1328,2011-02-28,1,0,2,0,1,1,3,0.42,0.4242,1.0,0.2985,1,24,25,14.0,2011-02-01
1329,2011-02-28,1,0,2,0,1,1,3,0.42,0.4242,1.0,0.2985,0,35,35,15.0,2011-02-01
1330,2011-02-28,1,0,2,0,1,1,3,0.42,0.4242,1.0,0.1343,2,40,42,16.0,2011-02-01
1331,2011-02-28,1,0,2,0,1,1,3,0.4,0.4091,1.0,0.2985,2,77,79,17.0,2011-02-01
1332,2011-02-28,1,0,2,0,1,1,3,0.46,0.4545,0.94,0.194,4,127,131,18.0,2011-02-01
1333,2011-02-28,1,0,2,0,1,1,3,0.44,0.4394,0.88,0.6119,1,79,80,19.0,2011-02-01
1334,2011-02-28,1,0,2,0,1,1,3,0.44,0.4394,0.88,0.6119,0,45,45,20.0,2011-02-01
1335,2011-02-28,1,0,2,0,1,1,2,0.38,0.3939,0.87,0.3881,2,78,80,21.0,2011-02-01
1336,2011-02-28,1,0,2,0,1,1,3,0.34,0.303,0.93,0.4179,4,72,76,22.0,2011-02-01
1337,2011-02-28,1,0,2,0,1,1,2,0.32,0.2879,0.81,0.3881,0,45,45,23.0,2011-02-01
1338,2011-03-01,1,0,3,0,2,1,1,0.3,0.2727,0.7,0.4627,0,7,7,0.0,2011-03-01
1339,2011-03-01,1,0,3,0,2,1,1,0.26,0.2273,0.7,0.3582,0,3,3,1.0,2011-03-01
1340,2011-03-01,1,0,3,0,2,1,1,0.24,0.2121,0.65,0.3881,0,4,4,2.0,2011-03-01
1341,2011-03-01,1,0,3,0,2,1,1,0.22,0.2121,0.69,0.2836,0,2,2,3.0,2011-03-01
1342,2011-03-01,1,0,3,0,2,1,1,0.22,0.2121,0.69,0.2537,0,1,1,4.0,2011-03-01
1343,2011-03-01,1,0,3,0,2,1,1,0.2,0.1818,0.64,0.2836,1,1,2,5.0,2011-03-01
1344,2011-03-01,1,0,3,0,2,1,1,0.2,0.1818,0.59,0.2985,0,46,46,6.0,2011-03-01
1345,2011-03-01,1,0,3,0,2,1,1,0.2,0.1818,0.59,0.3284,2,105,107,7.0,2011-03-01
1346,2011-03-01,1,0,3,0,2,1,1,0.2,0.1818,0.59,0.3881,10,204,214,8.0,2011-03-01
1347,2011-03-01,1,0,3,0,2,1,1,0.22,0.197,0.55,0.4179,8,116,124,9.0,2011-03-01
1348,2011-03-01,1,0,3,0,2,1,1,0.24,0.2121,0.52,0.2836,13,55,68,10.0,2011-03-01
1349,2011-03-01,1,0,3,0,2,1,1,0.28,0.2727,0.45,0.2537,8,48,56,11.0,2011-03-01
1350,2011-03-01,1,0,3,0,2,1,1,0.3,0.303,0.39,0.1343,6,80,86,12.0,2011-03-01
1351,2011-03-01,1,0,3,0,2,1,1,0.32,0.3485,0.39,0.0,13,65,78,13.0,2011-03-01
1352,2011-03-01,1,0,3,0,2,1,1,0.32,0.3333,0.36,0.1343,18,61,79,14.0,2011-03-01
1353,2011-03-01,1,0,3,0,2,1,1,0.34,0.3636,0.34,0.0,7,57,64,15.0,2011-03-01
1354,2011-03-01,1,0,3,0,2,1,1,0.34,0.3485,0.34,0.0896,10,92,102,16.0,2011-03-01
1355,2011-03-01,1,0,3,0,2,1,1,0.34,0.3485,0.34,0.0896,12,230,242,17.0,2011-03-01
1356,2011-03-01,1,0,3,0,2,1,1,0.32,0.3182,0.39,0.194,10,214,224,18.0,2011-03-01
1357,2011-03-01,1,0,3,0,2,1,1,0.3,0.303,0.49,0.1343,4,115,119,19.0,2011-03-01
1358,2011-03-01,1,0,3,0,2,1,1,0.3,0.3182,0.61,0.0896,2,86,88,20.0,2011-03-01
1359,2011-03-01,1,0,3,0,2,1,1,0.26,0.303,0.56,0.0,8,55,63,21.0,2011-03-01
1360,2011-03-01,1,0,3,0,2,1,1,0.24,0.2727,0.62,0.1045,3,44,47,22.0,2011-03-01
1361,2011-03-01,1,0,3,0,2,1,1,0.24,0.2273,0.65,0.2239,2,23,25,23.0,2011-03-01
1362,2011-03-02,1,0,3,0,3,1,1,0.22,0.2273,0.69,0.1642,3,5,8,0.0,2011-03-01
1363,2011-03-02,1,0,3,0,3,1,1,0.22,0.2273,0.69,0.194,0,4,4,1.0,2011-03-01
